URL,Price,Rooms,Baths,Area,Lat,Lon,Floor,Finishing,Governate,Neighbourhood
https://aqarmap.com.eg/ar/listing/6503647-for-sale-cairo-new-cairo-compounds-tag-city-origami-gardens-taj-city-compound/,10200000,2,2,116,30.072348,31.401426,1,نصف تشطيب,القاهرة الكبرى,  أوريجامي جاردنز 
https://aqarmap.com.eg/ar/listing/6449643-for-sale-red-sea-el-ahyaa/,11022000,1,1,167,27.248246,33.829404,1,سوبر لوكس,البحر الأحمر,  الاحياء
https://aqarmap.com.eg/ar/listing/6266269-for-sale-cairo-new-administrative-capital-r8-syty-wfl/,8653486,3,3,240,29.977228,31.763975,0,نصف تشطيب,القاهرة الكبرى,كمبوند سيتي اوفال 
https://aqarmap.com.eg/ar/listing/6434184-for-sale-cairo-new-cairo-lrhb-city-phase-5-ibn-al-nafees-st/,5050000,3,2,108,30.072348,31.483823,1,سوبر لوكس,القاهرة الكبرى,  شارع ابن النفيس
https://aqarmap.com.eg/ar/listing/6423464-for-sale-cairo-new-cairo-tamr-hena-tamr-hena-3/,5750000,3,3,275,30.053331,31.527769,2,بدون تشطيب,القاهرة الكبرى,  تمر حنة 3
https://aqarmap.com.eg/ar/listing/6283598-for-sale-alexandria-cleopatra-tryq-ljysh/,7800000,4,2,245,31.215999,29.923765,11,اكسترا سوبر لوكس,الاسكندرية,طريق الجيش
https://aqarmap.com.eg/ar/listing/6281917-for-sale-cairo-el-shorouk-compounds-al-burouj-compound-imkan/,7400000,3,3,180,30.195866,31.659604,5,اكسترا سوبر لوكس,القاهرة الكبرى,  كمبوند البروج 
https://aqarmap.com.eg/ar/listing/6111073-for-sale-red-sea-hurghada-resorts-scandic-resort-eitc/,4331200,1,1,53,27.1994,33.840391,3,سوبر لوكس,البحر الأحمر,  منتجع سكانديك 
https://aqarmap.com.eg/ar/listing/6342202-for-sale-cairo-new-cairo-lrhb-city-phase-5-ibn-al-nafees-st/,9000000,3,3,161,30.072348,31.483823,1,اكسترا سوبر لوكس,القاهرة الكبرى,  شارع ابن النفيس
https://aqarmap.com.eg/ar/listing/6332470-for-sale-cairo-new-cairo-lmstqbl-syty-compounds-bloomfields/,8469000,3,2,155,30.072348,31.643125,1,نصف تشطيب,القاهرة الكبرى,  كمبوند بلوم فيلدز 
